siteID,pitID,pitProfileID,rootStatus,sizeCategory,maxProfileDepth,totalRootBiomass,depth100RootBiomass
HARV,1_HARVARD_PIT1,HARV.1,live,>2mm,40,154.08,154.08
HARV,1_HARVARD_PIT1,HARV.2,live,>2mm,70,421.02,421.02
HARV,1_HARVARD_PIT1,HARV.3,live,>2mm,30,100.31,100.31
HARV,1_HARVARD_PIT1,HARV.2,live,<=2mm,80,1907.51,1907.51
HARV,1_HARVARD_PIT1,HARV.1,live,<=2mm,130,1743.95,1669.53
HARV,1_HARVARD_PIT1,HARV.3,live,<=2mm,50,1241.2,1241.2
